report_month,source_file,source_page,source_section,sl_no,project_name,agency,state,legacy_ocms_code,alternate_id,current_project_code,review_status,failure_type,raw_text_reference,notes
2026-03,FlashReport_March_2026.pdf,120,Table 6: All Ongoing Projects,1296,"(618046) Widening, Reconstruction & Up-gradation to 2 lane with Paved Shoulder/Four Lane configuration for the work of Ahmednagar to Sabalkhed & Ashti to Chinchpur Section of NH-561 from Design km 2915 to km 37728 & Design km 55100 to km 70000 in the",MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_March_2026.pdf:p120; Table 6: All Ongoing Projects; sl_no=1296,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-03,FlashReport_March_2026.pdf,120,Table 6: All Ongoing Projects,1298,Construction of four-lane Concrete Road from Police Headquarter Gondia City to Rawanwadi Village Birsi Airport Junction from design km 0.000 to km 15.781 existing km 39/720 of NH-753 to existing Km 8/400 of NH 543 on sections from Kohmara- Goregaon- Police HeadquarterKaranja - Collector Office Square - Balaghat T Point-,,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p120; Table 6: All Ongoing Projects; sl_no=1298,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,120,Table 6: All Ongoing Projects,1299,"Maharashtra. Total Length of the project 15.781 Km. (618059) Strengthening, Widening & Up-gradation of newly declared NH-761 from NH- 61Junction-BelheAlkutiDevibhoyareNighojShirur, from Design chainage Km 0.000 to Km 37.970 from Single/Intermediate/2L to 2LPS in the State of Maharashtra on EPC",MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_March_2026.pdf:p120; Table 6: All Ongoing Projects; sl_no=1299,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-03,FlashReport_March_2026.pdf,120,Table 6: All Ongoing Projects,1300,"(618061) (-) Rehabilitation/Upgradation of existing Highway to 2LPS/4 lane of Dhawali to Rajoli from Design Km.149476 to 163476 existing Km.150000 to 164000, Pandhasala to Mohadongri from design Km.170476 to 181476 existing Km.171000 to , Ambeshivni Fata to Bodli from design Km.183476 to 185476 existing Km.184000 to 186000 and Made Tukum to Gadchiroli from design Km.188476 to 189476 existing Km.188000 to 18900 having length 28 km of NH-930 of Dhawali to Gadchroli road in",MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_March_2026.pdf:p120; Table 6: All Ongoing Projects; sl_no=1300,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-03,FlashReport_March_2026.pdf,121,Table 6: All Ongoing Projects,1315,Rehabilitation and Up-gradation of i. Deogaon phata to Digras phata Ch. 0/000 to 15/000 & Selu to Borgavhan Ch 20/900 to 35/800 [Length 29.9km] ii. Injegaon Dhamoni to Pohner Phata Ch.58/200 to Ch. 83/700 [Length25.5 km] and iii. Pohner phata to Pathri Design Ch. 42/700 to 58/200 [Length 15.5 km] sections of NH-548B to,,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p121; Table 6: All Ongoing Projects; sl_no=1315,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,128,Table 6: All Ongoing Projects,1434,Up-gradation to 2 lane with paved shoutders of Pawlrang - Rulchawm section- of NH- 102B of Aizawl - Imphal Economic Corridor from Existing Chainage km 72.030 to km 104.129 including 2.459 km re-alignment section from Tuivai River to Rulchawm connecting km 48.150 of NH-6 [Design Chainage km 68.170 to km 98.579] in the,,Mizoram,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p128; Table 6: All Ongoing Projects; sl_no=1434,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,129,Table 6: All Ongoing Projects,1447,Widening/Improvement to 4-Lane with Paved Shoulder from km 55000 Nagabang Gamsuk to km 82514 Oyan in the State of Assam and Arunachal Pradesh on EPC Multi-States mode under Bharatmala Pariyojna of Length 27.514 Km Package-3,NHIDCL,(Arunachal,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p129; Table 6: All Ongoing Projects; sl_no=1447,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,130,Table 6: All Ongoing Projects,1478,(-) Uttarakhand) Delhi-Amritsar-Katra Expressway Phase-II Pkg-XIV from Junction with Pathankot- Gurdaspur road NH-54 near Balsua to Junction with Hiranagar Road near village Multi-States Gurha Baildaran km 423500 to km 468100,National Highways Authority of India [NHAI],(Jammu and,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p130; Table 6: All Ongoing Projects; sl_no=1478,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,137,Table 6: All Ongoing Projects,1602,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major,,Rajasthan,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p137; Table 6: All Ongoing Projects; sl_no=1602,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,151,Table 6: All Ongoing Projects,1847,"STABILIZATION OF LAND SLIDE AND SLOPE PROTECTION AT KM 11.00 TO KM 11.08, 29,730 KM TO 30,060 KM, 30,400 KM TO 31,060 KM, 34,750 KM TO 35,300 KM, 38,950 KM TO 39,030 KM & 39,460 KM TO 39,540 KM TWO LOC CLUBBED, KM 40,400 TO KM 40,650, KM 43,500 KM 43,680, 52,460 RISHIKESH - DHARASU",,Uttarakhand,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p151; Table 6: All Ongoing Projects; sl_no=1847,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,151,Table 6: All Ongoing Projects,1848,SLIDE - 12 NOS (618212) (-) Rehabilitation and Upgradation of road Rishikesh Dharasu Old NH-94 with 2-lane with paved shoulder from km 76.000 to km 110.000 Design Chainage from km 74.733 to km 107.347 32.614 km including construction of Kamand re-alignment from existing Chainage Km 105.200 to Km 108.600 design chainage Km 103.436 to Km 105.949 - total length 2513 mtrs and land slide treatment work between design chainage Km 73.800 to Km 74.00 200m on EPC mode under improvement to NH connectivity to,MoRTH,Uttarakhand,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_March_2026.pdf:p151; Table 6: All Ongoing Projects; sl_no=1848,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-03,FlashReport_March_2026.pdf,151,Table 6: All Ongoing Projects,1849,Chardham in (618213) (-) Rehabilitation and upgradation to 2 lane / 2 lane with paved shoulder configuration for design chainage km 107.347 to km 129.208 & km 133.878 to km 138.570 existing chainage km 110.000 to km 133.020 & km 137.330 to km 142.028 and land slide treatment at existing km 138.500 Design chainage km 134.970 of NH -94 on EPC mode under improvement to NH connectivity to Chardham in the state of Uttarakhand.,MoRTH,Uttarakhand,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_March_2026.pdf:p151; Table 6: All Ongoing Projects; sl_no=1849,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-03,FlashReport_March_2026.pdf,152,Table 6: All Ongoing Projects,1863,Construction of additional major Bridge with 4- lane configuration of length 1.48 km on NH-60 NH-14 over River Kangshabati from Km. 117.770 to Km 119.250 and additional major Bridge with 4- lane configuration of length 0.900 km on NH-60 NH- 14 over River Shilabati from Km. 173.220 to Km 174.120 in the district of Paschim,,West Bengal,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_March_2026.pdf:p152; Table 6: All Ongoing Projects; sl_no=1863,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-03,FlashReport_March_2026.pdf,154,Table 6: All Ongoing Projects,1883,"Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase 1 Multi-States Upgradation (Andhra Pradesh, Bihar, (617413) Chhattisgarh, (-) Jharkhand,",Department of Telecommunications [DoT],"Madhya Pradesh,",,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_March_2026.pdf:p154; Table 6: All Ongoing Projects; sl_no=1883,Validation extraction recovered source primary code 617413 at the same report/serial address; the baseline value was blank.
2026-03,FlashReport_March_2026.pdf,154,Table 6: All Ongoing Projects,1884,"Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal) Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2 Multi-States (Andhra Pradesh, (701599) Bihar, (-) Chhattisgarh, Jharkhand,",Department of Telecommunications [DoT],"Madhya Pradesh,",,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_March_2026.pdf:p154; Table 6: All Ongoing Projects; sl_no=1884,Validation extraction recovered source primary code 701599 at the same report/serial address; the baseline value was blank.
2026-04,FlashReport_April2026.pdf,66,Table 6: All Ongoing Projects,232,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B Multi-States (Dadra & Nagar,400005,Haveli and Daman,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p66; Table 6: All Ongoing Projects; sl_no=232,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,67,Table 6: All Ongoing Projects,257,"Construction of One Tower of Office Complex and another Tower of Residential quarters consisting of 10Nos. Type-V, 10Nos. Type-VI & 1No.Type-VII Quarters i/c internal water supply, sanitary installation and all development and bulk services, Horticulture works on EPC Mode-I basis i/c comprehensive operation and maintenance of Civil, E&M services for 7 years after completion of original construction work for Ranga Reddy, Secunderabad, Medchal, AuditI, Audit-II",,Telangana,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p67; Table 6: All Ongoing Projects; sl_no=257,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,75,Table 6: All Ongoing Projects,418,"(-) Odisha) North East Gas Grid Multi-States (Arunachal (701346) Pradesh, Assam, (2106) Manipur,",N16000539,"Meghalaya,",,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_April2026.pdf:p75; Table 6: All Ongoing Projects; sl_no=418,Validation extraction recovered source primary code 701346 at the same report/serial address; the baseline value was blank.
2026-04,FlashReport_April2026.pdf,75,Table 6: All Ongoing Projects,421,"Mumbai Nagpur Jharsuguda Pipeline Project Multi-States (Chhattisgarh,",701354,"Madhya Pradesh,",,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p75; Table 6: All Ongoing Projects; sl_no=421,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,87,Table 6: All Ongoing Projects,664,"New Delhi- Howrah Speed Booster[160Kmph] Project Multi-States (Bihar, Delhi,",705794,"Jharkhand, Uttar,",,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p87; Table 6: All Ongoing Projects; sl_no=664,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,106,Table 6: All Ongoing Projects,1011,Upgradation of Bilaspur-Takhatpur-Mungeli-Pandariya-Pondi Road on N.H.-130A Package IIIA Takhatpur By-pass from existing Ch. 26.542 to 32.093 [Design Ch. 18.700 to 25.900] & Mungeli By-pass from existing Ch. 45.786 to 56.275 [Design Ch. 29.600 to 51.600] and Package IIIB Pandariya By-Pass from existing Ch. 82.582 to 87.133 [Design Ch. 77.900 to 81.1000 & Pondi By-pass from existing Ch. 103.166 to 104.756 [Design Ch. 97.000 to 103.395] to two lane with paved shoulder configuration,,Chhattisgarh,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p106; Table 6: All Ongoing Projects; sl_no=1011,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,106,Table 6: All Ongoing Projects,1025,Widening of Existing Road from Intermediate Lane 2-lane to 4-lane Between Km 19.994 to Km 35.180 of NH-848A Rakholi-Khadoli-Velugam Section in U.T. of Dadra Dadra & Nagar and Nagar Haveli and Daman and Diu,MoRTH,Haveli and Daman,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p106; Table 6: All Ongoing Projects; sl_no=1025,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,124,Table 6: All Ongoing Projects,1330,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaisal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra. Package-I starting from existing chainage Km 301/430 at Phaltan Village Junction of Phaltan Baramati Road Design Chainage -301/430km & ending at existing chainage Km 341/300 Dahiwadi Village Bus Stop Design chainage Km",,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p124; Table 6: All Ongoing Projects; sl_no=1330,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,124,Table 6: All Ongoing Projects,1331,"340466km in the S (617979) (-) (10156) Rehabilitation/ Upgradation of existing Highway to four lane standards in Kurkheda town from km.413257 to km 410775, Two lane in Shankarpur Gurnuli km 42400 to km 43100 section and Reconstruction of Major Bridge at Ch. 448558 Bhuti Nallah and Ch. 411695 Sati River bridge, Minor Bridge at Ch. 411477 and Ch. 405800 Lendhari mode in the State of Maharashtra",MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_April2026.pdf:p124; Table 6: All Ongoing Projects; sl_no=1331,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-04,FlashReport_April2026.pdf,124,Table 6: All Ongoing Projects,1337,"Rehabilitation/Upgradation of existing Highway to 2LPS/4 lane of Dhawali to Rajoli from Design Km.149476 to 163476 existing Km.150000 to 164000, Pandhasala to Mohadongri from design Km.170476 to 181476 existing Km.171000 to , Ambeshivni Fata to Bodli from design Km.183476 to 185476 existing Km.184000 to 186000 and Made Tukum to Gadchiroli from design Km.188476 to 189476 existing Km.188000 to 18900 having length 28 km of NH-930 of Dhawali to Gadchroli road in",,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p124; Table 6: All Ongoing Projects; sl_no=1337,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,133,Table 6: All Ongoing Projects,1483,Widening/Improvement to 4-Lane with Paved Shoulder from km 55000 Nagabang Gamsuk to km 82514 Oyan in the State of Assam and Arunachal Pradesh on EPC Multi-States mode under Bharatmala Pariyojna of Length 27.514 Km Package-3,NHIDCL,(Arunachal,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p133; Table 6: All Ongoing Projects; sl_no=1483,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,135,Table 6: All Ongoing Projects,1514,(-) (12092) Uttarakhand) Delhi-Amritsar-Katra Expressway Phase-II Pkg-XIV from Junction with Pathankot- Gurdaspur road NH-54 near Balsua to Junction with Hiranagar Road near village Multi-States Gurha Baildaran km 423500 to km 468100,National Highways Authority of India [NHAI],(Jammu and,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_April2026.pdf:p135; Table 6: All Ongoing Projects; sl_no=1514,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-04,FlashReport_April2026.pdf,157,Table 6: All Ongoing Projects,1889,Rehabilitation and Upgradation of road Rishikesh Dharasu Old NH-94 with 2-lane with paved shoulder from km 76.000 to km 110.000 Design Chainage from km 74.733 to km 107.347 32.614 km including construction of Kamand re-alignment from existing Chainage Km 105.200 to Km 108.600 design chainage Km 103.436 to Km 105.949 - total length 2513 mtrs and land slide treatment work between design chainage Km 73.800 to Km 74.00 200m on EPC mode under improvement to NH connectivity to,,Uttarakhand,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_April2026.pdf:p157; Table 6: All Ongoing Projects; sl_no=1889,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-04,FlashReport_April2026.pdf,157,Table 6: All Ongoing Projects,1890,Chardham in (618213) (-) (-) Rehabilitation and upgradation to 2 lane / 2 lane with paved shoulder configuration for design chainage km 107.347 to km 129.208 & km 133.878 to km 138.570 existing chainage km 110.000 to km 133.020 & km 137.330 to km 142.028 and land slide treatment at existing km 138.500 Design chainage km 134.970 of NH -94 on EPC mode under improvement to NH connectivity to Chardham in the state of Uttarakhand.,MoRTH,Uttarakhand,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_April2026.pdf:p157; Table 6: All Ongoing Projects; sl_no=1890,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-04,FlashReport_April2026.pdf,159,Table 6: All Ongoing Projects,1924,"Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase 1 Multi-States Upgradation (Andhra Pradesh, Bihar, (617413) Chhattisgarh, (-) (9761) Jharkhand,",Department of Telecommunications [DoT],"Madhya Pradesh,",,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_April2026.pdf:p159; Table 6: All Ongoing Projects; sl_no=1924,Validation extraction recovered source primary code 617413 at the same report/serial address; the baseline value was blank.
2026-04,FlashReport_April2026.pdf,159,Table 6: All Ongoing Projects,1925,"Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal) Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2 Multi-States (Andhra Pradesh, (701599) Bihar, (-) (3127) Chhattisgarh, Jharkhand,",Department of Telecommunications [DoT],"Madhya Pradesh,",,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_April2026.pdf:p159; Table 6: All Ongoing Projects; sl_no=1925,Validation extraction recovered source primary code 701599 at the same report/serial address; the baseline value was blank.
2026-05,FlashReport_May2026.pdf,66,Table 6: All Ongoing Projects,249,"Construction of One Tower of Office Complex and another Tower of Residential quarters consisting of 10Nos. Type-V, 10Nos. Type-VI & 1No.Type-VII Quarters i/c internal water supply, sanitary installation and all development and bulk services, Horticulture works on EPC Mode-I basis i/c comprehensive operation and maintenance of Civil, E&M services for 7 years after completion of original construction work for Ranga Reddy, Secunderabad, Medchal, AuditI, Audit-II",,Telangana,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p66; Table 6: All Ongoing Projects; sl_no=249,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,74,Table 6: All Ongoing Projects,409,"(-) Odisha) North East Gas Grid Multi-States (Arunachal (701346) Pradesh, Assam, (2106) Manipur,",N16000539,"Meghalaya,",,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_May2026.pdf:p74; Table 6: All Ongoing Projects; sl_no=409,Validation extraction recovered source primary code 701346 at the same report/serial address; the baseline value was blank.
2026-05,FlashReport_May2026.pdf,86,Table 6: All Ongoing Projects,666,"New Delhi- Howrah Speed Booster[160Kmph] Project Multi-States (Bihar, Delhi,",705794,"Jharkhand, Uttar,",,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p86; Table 6: All Ongoing Projects; sl_no=666,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,105,Table 6: All Ongoing Projects,1013,Upgradation of Bilaspur-Takhatpur-Mungeli-Pandariya-Pondi Road on N.H.-130A Package IIIA Takhatpur By-pass from existing Ch. 26.542 to 32.093 [Design Ch. 18.700 to 25.900] & Mungeli By-pass from existing Ch. 45.786 to 56.275 [Design Ch. 29.600 to 51.600] and Package IIIB Pandariya By-Pass from existing Ch. 82.582 to 87.133 [Design Ch. 77.900 to 81.1000 & Pondi By-pass from existing Ch. 103.166 to 104.756 [Design Ch. 97.000 to 103.395] to two lane with paved shoulder configuration,,Chhattisgarh,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p105; Table 6: All Ongoing Projects; sl_no=1013,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,106,Table 6: All Ongoing Projects,1028,Widening of Existing Road from Intermediate Lane 2-lane to 4-lane Between Km 19.994 to Km 35.180 of NH-848A Rakholi-Khadoli-Velugam Section in U.T. of Dadra Dadra & Nagar and Nagar Haveli and Daman and Diu,MoRTH,Haveli and Daman,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p106; Table 6: All Ongoing Projects; sl_no=1028,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,124,Table 6: All Ongoing Projects,1339,"Rehabilitation, upgradation & widening of existing highway to 2L/4LPS Rigid Pavement of NH 160 section- Phaltan to Mhaisal near Karnataka Border including Tasgaon Bypass, from existing chainage Km 301/430 to Km 458/415 in the State of Maharashtra. Package-I starting from existing chainage Km 301/430 at Phaltan Village Junction of Phaltan Baramati Road Design Chainage -301/430km & ending at existing chainage Km 341/300 Dahiwadi Village Bus Stop Design chainage Km",,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p124; Table 6: All Ongoing Projects; sl_no=1339,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,124,Table 6: All Ongoing Projects,1340,"340466km in the S (617979) (-) (10156) Rehabilitation/ Upgradation of existing Highway to four lane standards in Kurkheda town from km.413257 to km 410775, Two lane in Shankarpur Gurnuli km 42400 to km 43100 section and Reconstruction of Major Bridge at Ch. 448558 Bhuti Nallah and Ch. 411695 Sati River bridge, Minor Bridge at Ch. 411477 and Ch. 405800 Lendhari mode in the State of Maharashtra",MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_May2026.pdf:p124; Table 6: All Ongoing Projects; sl_no=1340,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-05,FlashReport_May2026.pdf,124,Table 6: All Ongoing Projects,1346,"Rehabilitation/Upgradation of existing Highway to 2LPS/4 lane of Dhawali to Rajoli from Design Km.149476 to 163476 existing Km.150000 to 164000, Pandhasala to Mohadongri from design Km.170476 to 181476 existing Km.171000 to , Ambeshivni Fata to Bodli from design Km.183476 to 185476 existing Km.184000 to 186000 and Made Tukum to Gadchiroli from design Km.188476 to 189476 existing Km.188000 to 18900 having length 28 km of NH-930 of Dhawali to Gadchroli road in",,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p124; Table 6: All Ongoing Projects; sl_no=1346,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,133,Table 6: All Ongoing Projects,1493,Widening/Improvement to 4-Lane with Paved Shoulder from km 55000 Nagabang Gamsuk to km 82514 Oyan in the State of Assam and Arunachal Pradesh on EPC Multi-States mode under Bharatmala Pariyojna of Length 27.514 Km Package-3,NHIDCL,(Arunachal,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p133; Table 6: All Ongoing Projects; sl_no=1493,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,135,Table 6: All Ongoing Projects,1525,(-) (12092) Uttarakhand) Delhi-Amritsar-Katra Expressway Phase-II Pkg-XIV from Junction with Pathankot- Gurdaspur road NH-54 near Balsua to Junction with Hiranagar Road near village Multi-States Gurha Baildaran km 423500 to km 468100,National Highways Authority of India [NHAI],(Jammu and,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_May2026.pdf:p135; Table 6: All Ongoing Projects; sl_no=1525,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2026-05,FlashReport_May2026.pdf,157,Table 6: All Ongoing Projects,1903,Rehabilitation and Upgradation of road Rishikesh Dharasu Old NH-94 with 2-lane with paved shoulder from km 76.000 to km 110.000 Design Chainage from km 74.733 to km 107.347 32.614 km including construction of Kamand re-alignment from existing Chainage Km 105.200 to Km 108.600 design chainage Km 103.436 to Km 105.949 - total length 2513 mtrs and land slide treatment work between design chainage Km 73.800 to Km 74.00 200m on EPC mode under improvement to NH connectivity to,,Uttarakhand,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_May2026.pdf:p157; Table 6: All Ongoing Projects; sl_no=1903,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2026-05,FlashReport_May2026.pdf,157,Table 6: All Ongoing Projects,1904,Chardham in (618213) (-) (-) Rehabilitation and upgradation to 2 lane / 2 lane with paved shoulder configuration for design chainage km 107.347 to km 129.208 & km 133.878 to km 138.570 existing chainage km 110.000 to km 133.020 & km 137.330 to km 142.028 and land slide treatment at existing km 138.500 Design chainage km 134.970 of NH -94 on EPC mode under improvement to NH connectivity to Chardham in the state of Uttarakhand.,MoRTH,Uttarakhand,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_May2026.pdf:p157; Table 6: All Ongoing Projects; sl_no=1904,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
